股票代码,股票简称,开盘价,收盘价,最高价,最低价,成交量(股),涨跌幅(%),5日均线,10日均线,20日均线,30日均线,60日均线,MACD,BOLL上轨,BOLL中轨,BOLL下轨,kdj(k值),kdj(d值),kdj(j值),a股流通市值,所属行业,所属概念,买入信号,技术形态,上市天数
603383.SH,顶点软件,111.22,108.0,112.18,105.0,2218560.0,-3.13,110.88,112.56,102.80,95.60,68.89,-2.67,126.95,102.80,78.64,34.79,48.34,7.68,6265849000.0,信息服务-计算机应用-软件开发及服务,国产软件;金融科技;数字中国;互联网金融,wr超卖,缩量||价跌量缩||回调缩量,696
000596.SZ,古井贡酒,106.2,110.98,114.17,106.2,3569319.0,4.5,105.33,106.92,105.02,99.37,84.80,-2.06,113.73,105.02,96.32,44.15,39.33,53.8,42571928000.0,食品饮料-饮料制造-白酒,大消费;参股券商;鸡尾酒;老字号;融资融券;深股通;转融券标的;B转H;央视财经50;安徽国资改革;地方国资改革;白酒概念;MSCI预期,cci买入信号||mtm金叉||skdj金叉,价升量涨||放量||阳线,8238
300033.SZ,同花顺,106.0,105.0,108.75,103.0,8989961.0,-1.33,106.98,113.85,107.44,100.10,78.28,-5.04,130.79,107.44,84.10,21.48,35.42,-6.41,27751747000.0,信息服务-计算机应用-软件开发及服务,金融信息服务;基金三方销售;大数据;融资融券;机器人概念;电子信息;电子商务;移动互联网;金融科技;深股通;服务机器人;转融券标的;智能金融;人工智能;互联网+;MSCI预期;互联网金融;国产软件,wr超卖||bias买入信号,缩量||月线长下影线||回调缩量,3401
002912.SZ,中新赛克,105.18,102.12,105.18,102.12,752660.0,-1.74,102.85,105.28,110.34,112.14,103.16,-3.19,122.27,110.34,98.41,31.25,25.96,41.83,5194068300.0,信息设备-计算机设备-计算机设备Ⅲ,国产软件;5G;深股通;深圳国资改革;广东国资改革;地方国资改革;大数据;网络安全,mtm金叉,缩量||价跌量缩||月线长下影线,513
300613.SZ,富瀚微,105.0,103.29,105.1,103.15,269679.0,-1.72,104.12,105.50,107.18,109.85,105.09,-1.3,112.40,107.18,101.97,27.52,25.11,32.36,1337037410.0,电子-半导体及元件-集成电路,AI芯片;芯片设计;人工智能;安防;芯片概念;集成电路概念;超清视频,月线bias买入信号||月线psy超卖,缩量||价跌量缩||月线长下影线,787
000858.SZ,五粮液,103.32,102.34,104.5,101.8,27866312.0,-1.24,101.68,102.74,96.35,90.48,77.61,-0.96,112.13,96.35,80.57,50.25,57.22,36.33,388458940000.0,食品饮料-饮料制造-白酒,MSCI概念;P2P概念;春节概念;收入改革;成渝特区;老字号;循环经济;融资融券;深股通;转融券标的;超级品牌;地方国资改革;大消费;白酒概念,skdj金叉,缩量||价跌量缩||回调缩量,7661
603986.SH,兆易创新,101.82,99.57,101.82,97.3,4697594.0,-2.59,101.29,105.98,104.04,104.32,90.40,-3.08,114.46,104.04,93.61,24.73,33.85,6.5,20650537000.0,电子-半导体及元件-集成电路,汽车电子;国家大基金持股;存储芯片;芯片制造;芯片设计;芯片概念;AI芯片;人工智能;内存;MCU;集成电路概念;物联网;沪股通;超清视频,wr超卖||bias买入信号,缩量||月线长下影线||回调缩量,973
300628.SZ,亿联网络,100.0,99.5,100.92,98.0,1021801.0,-0.09,97.23,96.73,96.69,97.32,89.88,-0.19,100.49,96.69,92.88,62.02,53.38,79.29,7430660000.0,信息设备-通信设备-终端设备,云通信;深股通;白马股;MSCI预期;超清视频,周线行情收盘价上穿5日||周线mtm金叉,缩量||价跌量缩||月线长下影线,762
300454.SZ,深信服,97.88,98.21,99.25,97.22,645558.0,0.09,97.84,98.22,99.91,101.14,95.60,-1.16,105.25,99.91,94.56,39.18,30.25,57.04,3929382100.0,信息服务-计算机应用-软件开发及服务,新股与次新股;云计算;网络安全;深股通;态势感知,vr买入信号||月线macd金叉,价升量涨||缩量||阳线,337
603039.SH,泛微网络,95.05,95.2,96.8,95.05,236478.0,-0.63,93.18,94.49,98.01,96.13,88.82,-2.28,107.62,98.01,88.41,34.05,24.09,53.98,3798556200.0,信息服务-计算机应用-软件开发及服务,国产软件;沪股通,psy超卖,缩量||阳线||价跌量缩,825
300725.SZ,药石科技,94.59,93.1,95.0,92.66,1039414.0,-1.67,93.15,94.11,96.67,95.32,82.34,-2.67,103.98,96.67,89.35,25.75,26.15,24.96,6453728400.0,医药生物-化学制药-化学原料药,生物医药;深股通;创新药;年报预增,wr超卖,缩量||价跌量缩||回调缩量,524
603259.SH,药明康德,93.0,92.95,93.8,92.5,1897959.0,-1.05,94.01,94.20,93.71,94.15,88.30,-0.76,97.80,93.71,89.62,36.71,46.32,17.48,9685255800.0,医药生物-医疗器械服务-医疗服务Ⅲ,独角兽概念;新股与次新股;基因测序;创新药;沪股通;年报预增;养老金持股,周线cr金叉,缩量||价跌量缩||回调缩量,345
300616.SZ,尚品宅配,92.21,92.23,93.9,91.61,427673.0,0.31,92.51,94.07,91.75,88.07,80.22,-1.66,102.39,91.75,81.11,31.76,43.4,8.47,6288294000.0,轻工制造-家用轻工-家具,移动互联网;深股通;全屋定制,月线boll突破中轨||月线mtm金叉||月线dmi金叉,价升量涨||缩量||阳线,772
300618.SZ,寒锐钴业,92.0,89.74,92.0,89.02,5073334.0,-3.14,91.01,94.02,88.49,85.87,78.63,-1.23,105.76,88.49,71.21,25.04,36.61,1.88,10228924200.0,有色金属-有色冶炼加工-小金属,深股通;锂电池;钴;白马股;小金属概念;年报预增,wr超卖||月线bias买入信号||月线cr金叉,缩量||价跌量缩||回调缩量,773
000538.SZ,云南白药,91.0,90.06,91.91,90.0,4646891.0,-1.24,90.11,89.68,87.35,86.55,84.38,0.47,93.85,87.35,80.85,45.1,49.39,36.53,93787802000.0,医药生物-中药-中药Ⅲ,参股券商;超级品牌;医疗改革;老龄化;大消费;融资融券;深股通;中医药;转融券标的;央视财经50;健康中国;老字号;医保目录;MSCI概念;机构重仓,月线cr金叉||月线dmi金叉,缩量||价跌量缩||月线长下影线,9255
600570.SH,恒生电子,90.45,88.3,90.45,88.25,10654618.0,-2.02,90.11,92.47,90.45,89.05,80.00,-2.12,102.01,90.45,78.88,20.29,29.63,1.62,54552197000.0,信息服务-计算机应用-软件开发及服务,基金三方销售;MSCI概念;核高基;互联网医疗;电子商务;蚂蚁金服概念;融资融券;电子信息;马云概念;金融科技;沪股通;转融券标的;智能金融;区块链应用;区块链;互联网金融;独角兽概念;人工智能;国产软件,wr超卖,缩量||价跌量缩||回调缩量,5602
002821.SZ,凯莱英,89.85,92.01,92.66,89.15,2774987.0,2.44,87.86,88.22,89.33,90.53,84.17,-0.46,93.92,89.33,84.74,52.17,34.16,88.17,11256576600.0,医药生物-化学制药-化学原料药,生物医药;抗癌;深股通;创新药,cci买入信号||roc买入信号||月线cr金叉,放量||价升量缩||阳线,881
300756.SZ,中山金马,88.97,87.42,88.97,87.2,690714.0,-1.85,89.08,90.98,93.68,95.50,94.18,-1.72,102.11,93.68,85.24,18.44,25.22,4.87,874200000.0,机械设备-专用设备-其它专用机械,新股与次新股;高送转,wr超卖||周线bias买入信号||月线skdj超卖,缩量||回调缩量||阴线,111
300750.SZ,宁德时代,86.12,84.65,86.3,84.42,7061781.0,-1.7,83.20,82.93,84.24,85.62,83.83,0.09,88.56,84.24,79.92,56.07,39.11,89.99,18389682000.0,机械设备-电气设备-电源设备,独角兽概念;宁德时代概念;新股与次新股;新能源汽车;锂电池;储能;深股通;MSCI预期;科创板IPO,macd金叉||周线行情收盘价上穿5日||周线mtm金叉,缩量||价跌量缩||月线长下影线,311
603288.SH,海天味业,85.77,86.29,86.49,85.02,1396083.0,0.13,85.49,86.30,83.94,81.25,78.09,-0.45,91.78,83.94,76.10,39.38,44.5,29.13,233014870000.0,食品饮料-食品加工制造-调味发酵品,超级品牌;MSCI概念;沪股通;老字号;大消费;调味品,skdj金叉,价升量缩||缩量||阳线,1892
300661.SZ,圣邦股份,85.66,85.01,86.6,84.8,279612.0,-1.53,85.40,86.60,89.19,92.67,86.83,-1.43,95.87,89.19,82.51,25.57,22.8,31.1,3616403800.0,电子-半导体及元件-集成电路,芯片设计;芯片概念;人工智能;集成电路概念;深股通;超清视频,月线cr金叉||psy超卖,缩量||价跌量缩||月线长下影线,681
601318.SH,中国平安,84.69,84.3,85.02,83.88,39728704.0,-0.21,83.18,82.05,78.91,76.68,70.92,0.49,86.80,78.91,71.02,81.01,79.02,85.0,913193620000.0,金融服务-保险及其他-保险Ⅲ,上海金改;MSCI概念;央视财经50;融资融券;沪股通;转融券标的;互联网保险;白马股;中字头股票;征信;独角兽概念,月线macd金叉||月线dmi金叉,缩量||价跌量缩||上升通道,4431
300572.SZ,安车检测,80.88,78.02,81.53,77.0,499230.0,-4.35,80.37,81.71,79.94,77.23,63.98,-2.39,86.79,79.94,73.09,28.85,42.25,2.07,4399199800.0,机械设备-仪器仪表-仪器仪表,年报预增;高送转,wr超卖,缩量||回调缩量||阴线,863
300769.SZ,德方纳米,80.08,80.08,80.08,80.08,16203.0,10.0,--,--,--,--,--,3.67,--,--,--,0.0,0.0,0.0,856055200.0,化工-化学制品-其他化学制品,新股与次新股,skdj超卖||kdj超卖||周线kdj超卖,价升量涨||尖三兵||阶段放量,3
300226.SZ,上海钢联,79.21,77.78,79.8,77.56,1841729.0,-1.4,78.16,79.98,82.24,82.03,71.27,-2.55,89.32,82.24,75.16,21.47,23.13,18.14,11803901000.0,信息服务-通信服务-互联网信息服务,上海自贸区;P2P概念;票交所;上海金改;参股新三板;临港地区;供应链金融;物流电商平台;互联网钢铁;互联网平台;融资融券;深股通;电子商务;转融券标的;互联网+;工业互联网;互联网金融;年报预增,wr超卖||月线mtm金叉,缩量||价跌量缩||回调缩量,2871
603338.SH,浙江鼎力,78.9,76.88,79.39,76.66,842265.0,-2.56,77.94,79.77,80.72,79.28,72.86,-2.06,85.00,80.72,76.45,30.98,32.59,27.75,19042924000.0,机械设备-专用设备-其它专用机械,军工;高端装备;工业4.0;一带一路;沪股通;军民融合;年报预增,kdj金叉||dmi金叉,缩量||价跌量缩||月线长下影线,1485
300762.SZ,上海瀚讯,78.8,79.7,82.5,77.5,6407066.0,-0.38,81.80,86.98,73.58,--,--,-3.51,110.97,73.58,36.18,24.78,41.15,-7.96,2658792000.0,国防军工-国防军工-地面兵装,新股与次新股;军工,wr超卖||bias买入信号||周线kdj超卖,放量||阳线||价跌量缩,35
300567.SZ,精测电子,77.2,77.41,78.71,76.56,854264.0,-1.21,78.49,80.45,79.81,77.81,68.85,-2.35,88.70,79.81,70.93,24.22,29.1,14.46,6477997800.0,机械设备-仪器仪表-仪器仪表,苹果概念;富士康概念;深股通;OLED设备制造;OLED;年报预增;柔性屏;超清视频,月线cr金叉||psy超卖,缩量||阳线||价跌量缩,877
601888.SH,中国国旅,75.7,78.23,78.4,75.65,7996896.0,2.69,74.67,73.57,70.27,67.27,63.63,0.97,79.00,70.27,61.55,86.16,78.11,102.25,152742160000.0,餐饮旅游-景点及旅游-旅游综合Ⅲ,五一出境游;MSCI概念;奢侈品;央企控股;春节概念;电子商务;收入改革;海南旅游岛;在线旅游;融资融券;沪股通;转融券标的;世界杯;大消费;海南自贸区;中韩自贸区;中字头股票;央企国资改革,mtm金叉||月线macd金叉||月线cr金叉,价升量缩||缩量||阳线,3472
002032.SZ,苏泊尔,74.44,75.14,77.38,73.62,1602446.0,1.82,73.25,73.40,71.22,68.73,62.13,-0.5,79.71,71.22,62.73,47.28,46.27,49.31,40923042000.0,家用电器-白色家电-小家电,国际板;家用电器;融资融券;深股通;转融券标的;大消费;MSCI预期;机构重仓,cci买入信号||skdj金叉||kdj金叉,价升量涨||缩量||阳线,5357
002841.SZ,视源股份,73.98,73.2,74.64,73.0,688399.0,-0.76,73.57,74.95,75.83,75.79,70.01,-1.63,80.48,75.83,71.19,16.43,21.3,6.69,4873445200.0,电子-光学光电子-显示器件Ⅲ,在线教育;智能家居;人工智能;智能穿戴;深股通;小米概念;超清视频;养老金持股,wr超卖||skdj超卖||psy超卖,缩量||价跌量缩||回调缩量,819
603180.SH,金牌厨柜,72.41,70.86,72.48,70.51,799300.0,-1.67,71.77,75.00,78.68,76.93,71.98,-2.97,88.71,78.68,68.65,17.89,18.37,16.93,1304991140.0,轻工制造-家用轻工-家具,白马股;沪股通,wr超卖||bias买入信号||kdj低位钝化,缩量||价跌量缩||回调缩量,706
300630.SZ,普利制药,71.63,70.4,71.63,69.5,1091330.0,-1.83,71.64,72.20,72.95,70.33,61.61,-2.03,77.16,72.95,68.74,24.42,26.97,19.32,6967945200.0,医药生物-化学制药-化学制剂,海南自贸区;深股通;年报预增;高送转,wr超卖||月线cr金叉||月线cci买入信号,缩量||回调缩量||阴线,751
300651.SZ,金陵体育,71.49,68.05,72.58,66.86,856617.0,-4.59,70.03,69.13,65.62,61.59,54.21,-0.56,75.81,65.62,55.44,61.5,72.47,39.57,1692430700.0,轻工制造-家用轻工-文娱用品,体育产业;体育用品;世界杯;高送转,skdj金叉,放量||价跌量缩||阴线,709
300766.SZ,每日互动,71.0,69.91,72.89,65.1,16233949.0,-1.55,67.93,58.62,--,--,--,6.3,--,--,--,90.8,87.26,97.87,2803391000.0,信息服务-通信服务-互联网信息服务,新股与次新股;大数据;独角兽概念;百度概念,周线kdj超卖||月线kdj超卖||周线skdj超卖,价跌量缩||阴线||长下影线,24
300550.SZ,和仁科技,70.51,67.8,70.96,67.01,1211487.0,-2.87,65.94,65.66,64.59,63.09,56.23,-0.27,69.75,64.59,59.42,60.63,54.51,72.86,1984506000.0,信息服务-计算机应用-软件开发及服务,互联网医疗;区块链,月线cr金叉,放量||强中选强||价跌量缩,912
300676.SZ,华大基因,70.15,70.25,71.56,69.69,4601765.0,1.07,70.88,72.22,73.83,75.41,71.38,-1.45,78.89,73.83,68.76,25.18,25.62,24.29,17319859000.0,医药生物-医疗器械服务-医疗器械Ⅲ,体外诊断;生物医药;深股通;基因测序;健康中国;医疗器械概念;MSCI预期;区块链,skdj金叉||月线bias买入信号||skdj底背离,价升量涨||缩量||阳线,643
000568.SZ,泸州老窖,69.22,69.15,70.1,68.68,7918406.0,-0.55,68.97,69.40,66.30,62.12,54.73,-0.76,74.30,66.30,58.30,55.09,62.29,40.69,100966281000.0,食品饮料-饮料制造-白酒,大消费;MSCI概念;成渝特区;老字号;收入改革;超级品牌;参股券商;融资融券;深股通;春节概念;转融券标的;地方国资改革;白酒概念;证金持股;白马股,cr金叉||月线macd金叉||月线cci买入信号,缩量||价跌量缩||回调缩量,9110
300638.SZ,广和通,68.63,65.4,70.24,64.0,6390308.0,-6.97,64.34,62.12,60.82,59.87,46.23,-0.02,68.43,60.82,53.20,62.65,57.97,72.02,2609460000.0,信息设备-通信设备-通信配套服务,移动互联网;物联网感知层;阿里巴巴概念;5G;物联网;移动支付;年报预增;边缘计算,周线行情收盘价上穿5日||周线rsi金叉||周线mtm金叉,放量||价跌量缩||月线长下影线,735
002714.SZ,牧原股份,68.0,67.2,70.57,67.0,13279432.0,-2.96,68.02,67.70,63.95,60.75,50.46,-0.86,75.52,63.95,52.38,46.43,53.37,32.56,80071875000.0,农林牧渔-养殖业-畜禽养殖,扶贫开发;融资融券;饲料;深股通;转融券标的;MSCI概念;优先股概念;猪肉,skdj金叉,缩量||价跌量缩||回调缩量,1906
601799.SH,星宇股份,67.98,67.25,69.88,67.08,579324.0,-1.1,66.83,67.41,63.71,61.11,57.70,0.11,71.77,63.71,55.66,53.28,60.13,39.59,18571439000.0,交运设备-汽车零部件-汽车零部件Ⅲ,物联网;宝马概念;车联网;沪股通;汽车电子;无人驾驶,月线boll突破上轨||月线macd金叉,缩量||价跌量缩||回调缩量,2998
600763.SH,通策医疗,67.77,66.7,68.1,66.4,1568220.0,-1.67,67.07,67.51,68.12,66.50,60.37,-1.37,71.15,68.12,65.10,32.57,34.42,28.85,21386688000.0,医药生物-医疗器械服务-医疗服务Ⅲ,民营医院;儿童医药医疗;沪股通;医疗改革;医疗器械概念;二胎概念;年报预增;独角兽概念;区块链,kdj金叉,缩量||价跌量缩||回调缩量,8205
300743.SZ,天地数码,67.54,66.0,71.0,64.35,4753318.0,-7.69,63.23,54.37,46.92,45.00,41.40,5.79,68.24,46.92,25.60,90.77,88.49,95.33,1089000000.0,化工-化学制品-其他化学制品,新股与次新股,月线macd金叉||月线cr金叉||月线rsi金叉,放量||强中选强||旗形,356
603583.SH,捷昌驱动,67.5,67.63,69.38,67.5,997869.0,0.19,66.25,66.36,68.60,69.56,63.42,-0.97,74.11,68.60,63.08,50.81,33.56,85.29,2042426000.0,机械设备-电气设备-电机,新股与次新股;年报预增;高送转预期;白马股,月线skdj超卖||月线kdj超卖||月线kdj低位钝化,价升量涨||缩量||阳线,209
002371.SZ,北方华创,65.53,64.96,66.65,64.66,5551600.0,-1.28,65.18,66.15,68.45,69.36,58.92,-2.22,74.74,68.45,62.15,25.89,23.11,31.44,23342482000.0,电子-半导体及元件-半导体材料,新能源;航天军工;军工;元器件;融资融券;深股通;芯片材料;芯片设备;转融券标的;锂电设备;国家大基金持股;国改双百行动;光伏概念;芯片概念;OLED;北京国资改革;地方国资改革;集成电路概念;锂电池;证金持股;年报预增;MSCI预期,wr超卖,缩量||价跌量缩||月线长下影线,3320
603605.SH,珀莱雅,65.35,63.91,65.35,63.8,1355913.0,-1.6,64.81,67.14,65.73,62.21,54.75,-2.15,73.69,65.73,57.78,19.63,31.35,-3.79,3968286900.0,化工-化学制品-日用化学产品,电子商务;化妆护肤品,wr超卖,缩量||价跌量缩||回调缩量,519
603737.SH,三棵树,65.03,66.38,66.5,64.3,358170.0,1.61,66.09,66.47,63.79,61.25,51.59,-1.01,70.11,63.79,57.46,43.24,50.25,29.23,2869726200.0,化工-化学制品-涂料油漆油墨制造,参股民营银行;沪股通;建筑涂料;绿色建筑,行情收盘价上穿5日||月线boll突破上轨,价升量缩||缩量||阳线,1049
600276.SH,恒瑞医药,64.75,64.13,64.75,63.77,10178921.0,-0.62,64.30,64.61,63.71,62.15,57.57,-0.73,68.12,63.71,59.29,39.93,44.32,31.16,282423070000.0,医药生物-化学制药-化学制剂,诺贝尔;老龄化;MSCI概念;哮喘;炭疽;融资融券;胰岛素;抗辐射药;沪股通;单抗;转融券标的;医保目录;抗癌;抗肿瘤;仿制药;医疗改革;创新药,月线macd金叉||月线cr金叉,缩量||价跌量缩||回调缩量,6756
300347.SZ,泰格医药,64.66,63.15,65.46,63.01,3031433.0,-2.56,64.84,65.28,64.35,63.60,56.12,-1.12,68.42,64.35,60.28,36.87,47.62,15.38,22444433000.0,医药生物-医疗器械服务-医疗服务Ⅲ,健康中国;深股通;医疗器械概念;创新药;MSCI预期;台湾概念股,wr超卖,缩量||价跌量缩||回调缩量,2435
002952.SZ,亚世光电,63.95,63.44,64.29,62.52,2343499.0,-1.43,64.36,68.15,--,--,--,-0.61,--,--,--,16.4,21.99,5.22,966825600.0,电子-光学光电子-显示器件Ⅲ,新股与次新股;高送转预期,wr超卖||周线kdj超卖||月线kdj超卖,阴线||价跌量升||阶段放量,21
300761.SZ,立华股份,63.5,63.88,65.43,62.88,4638248.0,0.41,63.76,66.19,69.20,73.92,--,-2.35,78.59,69.20,59.81,18.07,20.96,12.28,2636966400.0,农林牧渔-养殖业-畜禽养殖,新股与次新股;猪肉;养鸡,行情收盘价上穿5日||wr超卖||skdj超卖,价升量缩||缩量||阳线,59
600009.SH,上海机场,63.22,64.08,64.5,62.51,5755314.0,1.71,62.30,62.10,60.94,59.74,56.33,0.07,65.00,60.94,56.89,55.52,44.64,77.26,70069968000.0,交通运输-机场航运-机场Ⅲ,迪士尼;浦东新区;春运;MSCI概念;融资融券;沪股通;转融券标的;地方国资改革;大消费;上海自贸区;上海国资改革;证金持股,cci买入信号||kdj金叉||macd金叉,价升量涨||缩量||阳线,7729
300695.SZ,兆丰股份,62.9,61.85,62.9,61.5,580541.0,-1.67,64.38,66.64,65.87,65.24,61.63,-1.67,70.72,65.87,61.01,19.72,33.77,-8.4,1031515750.0,交运设备-汽车零部件-汽车零部件Ⅲ,创投,wr超卖||bias买入信号||月线dmi金叉,缩量||价跌量缩||回调缩量,587
603658.SH,安图生物,62.79,62.25,63.25,61.8,578699.0,-0.96,63.33,65.30,65.33,64.53,59.86,-1.63,69.16,65.33,61.50,22.69,35.03,-1.98,8499478100.0,医药生物-医疗器械服务-医疗器械Ⅲ,沪股通;体外诊断;机构重仓,wr超卖||月线cr金叉||月线kdj金叉,缩量||价跌量缩||回调缩量,959
000418.SZ,小天鹅A,62.36,63.95,64.57,62.36,3674772.0,3.13,62.08,62.92,60.16,58.61,55.46,-0.08,67.45,60.16,52.88,56.77,58.28,53.75,28096248000.0,家用电器-白色家电-洗衣机,深股通;家用电器;MSCI预期;机构重仓,skdj金叉||cr金叉||rsi金叉,价升量涨||放量||阳线,8056
002594.SZ,比亚迪,62.3,59.32,62.31,58.9,31469652.0,-4.94,57.22,56.01,55.42,54.88,52.94,1.03,59.85,55.42,50.99,67.85,58.52,86.52,67756130000.0,交运设备-汽车整车-乘用车,锌电池;锂矿;分布式发电;元器件;IGBT;三星;特斯拉;新能源;充电桩;汽车制造概念;MSCI概念;超级品牌;汽车电商;轨道交通;车联网;电动汽车;智能汽车;融资融券;盐湖提锂;深股通;转融券标的;锂电制造;锂电池;3D玻璃;大消费;互联网+;无人驾驶;新能源整车;储能;新能源汽车,月线cci买入信号||周线cr金叉||月线vr买入信号,放量||强中选强||价跌量缩,2849
601336.SH,新华保险,62.02,62.91,63.75,62.0,15116527.0,1.01,60.81,59.91,56.89,54.93,49.92,0.75,64.31,56.89,49.48,78.3,72.86,89.18,131194989000.0,金融服务-保险及其他-保险Ⅲ,MSCI概念;互联网保险;融资融券;沪股通;转融券标的;年报预增;证金持股,月线macd金叉||周线boll突破上轨||月线dmi金叉,价升量缩||缩量||阳线,2680
600486.SH,扬农化工,62.0,60.74,62.69,60.0,3133038.0,-2.39,61.60,64.16,59.31,56.62,50.09,-1.04,71.42,59.31,47.20,25.55,41.99,-7.34,18823260000.0,化工-化学制品-农药,可降解塑料;百草枯;环氧树脂;蜱虫;登革热;融资融券;乡村振兴;沪股通;转融券标的;草甘膦;年报预增;MSCI预期;宝能系,wr超卖||月线macd金叉||月线cci买入信号,缩量||价跌量缩||回调缩量,6202
603666.SH,亿嘉和,61.99,61.73,62.61,61.51,1232900.0,-0.6,63.39,64.73,65.82,64.62,56.09,-2.25,70.35,65.82,61.29,13.98,23.72,-5.49,1516178900.0,机械设备-通用设备-其它通用机械,机器人概念;新股与次新股;无人机;沪股通;白马股,wr超卖||skdj超卖,缩量||价跌量缩||回调缩量,310
