股票代码,股票简称,开盘价,收盘价,最高价,最低价,成交量(股),涨跌幅(%),5日均线,10日均线,20日均线,30日均线,60日均线,MACD,BOLL上轨,BOLL中轨,BOLL下轨,kdj(k值),kdj(d值),kdj(j值),a股流通市值,所属行业,所属概念,上市天数,技术形态
603259.SH,药明康德,91.02,89.25,91.85,88.96,4867826.0,-2.78,92.18,93.65,93.17,93.77,89.10,-1.4,97.46,93.17,88.88,15.86,28.56,-9.54,9299721100.0,医药生物-医疗器械服务-医疗服务Ⅲ,独角兽概念;新股与次新股;基因测序;创新药;沪股通;年报预增;养老金持股,350,放量||阴线||价跌量升
300661.SZ,圣邦股份,88.25,94.35,96.24,87.26,1044113.0,7.18,88.31,86.95,88.72,91.21,87.77,0.69,94.89,88.72,82.54,64.37,46.06,101.0,4013736000.0,电子-半导体及元件-集成电路,芯片设计;芯片概念;人工智能;集成电路概念;深股通;超清视频,686,底部吸筹||价升量涨||放量
300756.SZ,中山金马,87.24,86.04,87.25,85.41,517689.0,-1.33,87.49,88.10,91.95,94.35,93.96,-1.36,100.46,91.95,83.44,11.16,16.69,0.09,860400000.0,机械设备-专用设备-其它专用机械,新股与次新股;高送转,116,缩量||回调缩量||阴线
300616.SZ,尚品宅配,87.08,94.99,96.22,87.08,679645.0,6.52,92.71,93.19,92.99,89.35,81.74,-1.57,101.99,92.99,83.99,47.56,42.71,57.26,6476472300.0,轻工制造-家用轻工-家具,移动互联网;深股通;全屋定制;白马股,777,放量||价升量缩||阳线
600570.SH,恒生电子,86.39,86.43,88.3,84.88,15711283.0,-0.39,88.38,89.72,90.76,89.05,81.43,-2.52,101.85,90.76,79.67,16.27,21.4,6.0,53396902000.0,信息服务-计算机应用-软件开发及服务,MSCI概念;基金三方销售;核高基;互联网医疗;电子商务;蚂蚁金服概念;融资融券;电子信息;马云概念;金融科技;沪股通;转融券标的;区块链应用;智能金融;区块链;互联网金融;独角兽概念;人工智能;国产软件,5607,缩量||阳线||价跌量缩
603288.SH,海天味业,85.0,86.99,88.2,82.5,6065115.0,1.74,86.38,86.19,85.38,82.38,78.79,-0.56,90.32,85.38,80.45,49.73,45.25,58.67,234905130000.0,食品饮料-食品加工制造-调味发酵品,超级品牌;MSCI概念;沪股通;老字号;大消费;调味品,1897,价升量涨||放量||阳线
601318.SH,中国平安,84.75,86.06,87.38,84.5,67811637.0,1.3,85.36,83.67,80.67,78.35,72.23,0.41,88.83,80.67,72.51,77.86,79.9,73.78,932259110000.0,金融服务-保险及其他-保险Ⅲ,上海金改;MSCI概念;央视财经50;融资融券;沪股通;转融券标的;互联网保险;白马股;中字头股票;征信;独角兽概念,4436,价升量缩||缩量||阳线
300618.SZ,寒锐钴业,83.33,81.82,83.33,80.6,4353690.0,-1.17,86.99,88.89,89.30,86.39,79.38,-3.41,105.15,89.30,73.45,11.92,20.53,-5.29,9326170900.0,有色金属-有色冶炼加工-小金属,深股通;锂电池;钴;白马股;小金属概念;年报预增,778,缩量||价跌量缩||回调缩量
300750.SZ,宁德时代,80.5,78.17,80.65,75.01,11525936.0,-3.77,82.67,82.15,83.23,85.01,84.09,-0.67,87.31,83.23,79.16,36.24,40.53,27.65,16981943000.0,机械设备-电气设备-电源设备,独角兽概念;宁德时代概念;新股与次新股;新能源汽车;锂电池;储能;深股通;MSCI预期;科创板IPO,316,放量||月线长下影线||阴线
300567.SZ,精测电子,79.82,77.0,79.82,75.55,2329096.0,-3.63,78.28,78.98,80.58,78.33,70.27,-2.04,87.76,80.58,73.41,37.63,35.08,42.73,6443687300.0,机械设备-仪器仪表-仪器仪表,苹果概念;富士康概念;深股通;OLED设备制造;OLED;年报预增;柔性屏;超清视频;高送转,882,放量||月线长下影线||阴线
300762.SZ,上海瀚讯,79.82,79.38,83.47,79.38,8195825.0,-0.96,80.06,82.75,79.36,--,--,-5.09,104.57,79.36,54.15,21.33,28.01,7.97,2648116800.0,国防军工-国防军工-地面兵装,新股与次新股;军工,40,放量||阴线||长上影线
300572.SZ,安车检测,78.0,77.5,78.15,76.5,270554.0,0.78,78.71,79.84,80.30,78.44,65.61,-2.77,86.42,80.30,74.19,17.17,26.73,-1.93,4369879400.0,机械设备-仪器仪表-仪器仪表,年报预增;高送转,868,价升量缩||缩量||阴线
601888.SH,中国国旅,78.0,77.4,79.5,77.4,10577878.0,-0.77,77.69,75.21,72.44,69.01,64.53,0.72,80.55,72.44,64.33,79.99,81.66,76.64,151121610000.0,餐饮旅游-景点及旅游-旅游综合Ⅲ,MSCI概念;奢侈品;五一出境游;在线旅游;央企控股;电子商务;春节概念;收入改革;海南旅游岛;融资融券;沪股通;转融券标的;世界杯;大消费;海南自贸区;中韩自贸区;中字头股票;央企国资改革,3477,缩量||回调缩量||阴线
300226.SZ,上海钢联,76.9,77.37,77.88,75.91,3075960.0,0.48,77.89,78.98,80.81,82.18,72.64,-2.08,87.10,80.81,74.52,18.98,21.0,14.93,11741679300.0,信息服务-通信服务-互联网信息服务,互联网钢铁;供应链金融;票交所;上海自贸区;参股新三板;物流电商平台;P2P概念;临港地区;上海金改;互联网平台;融资融券;深股通;电子商务;转融券标的;互联网+;工业互联网;互联网金融;年报预增,2876,价升量涨||缩量||阳线
603338.SH,浙江鼎力,75.48,75.92,77.25,75.33,1530706.0,1.05,76.75,78.01,80.04,79.89,73.57,-2.12,85.56,80.04,74.51,19.96,25.63,8.62,18805135000.0,机械设备-专用设备-其它专用机械,军工;工业4.0;一带一路;高端装备;沪股通;军民融合;年报预增;白马股,1490,价升量涨||缩量||阳线
002032.SZ,苏泊尔,74.49,74.19,74.8,73.15,1461908.0,-0.87,75.08,74.27,72.88,69.98,63.38,-0.54,79.50,72.88,66.25,38.36,43.68,27.71,40405650000.0,家用电器-白色家电-小家电,国际板;家用电器;融资融券;深股通;转融券标的;大消费;MSCI预期;机构重仓,5362,缩量||月线长下影线||回调缩量
300630.SZ,普利制药,73.25,73.74,75.0,71.51,1262805.0,0.23,72.29,72.34,73.15,71.92,63.00,-1.22,77.27,73.15,69.03,52.14,39.37,77.68,7298526700.0,医药生物-化学制药-化学制剂,海南自贸区;深股通;年报预增;高送转,756,价升量涨||缩量||阳线
002841.SZ,视源股份,72.93,72.51,73.59,71.75,669866.0,-0.56,73.12,73.63,75.52,75.62,70.79,-1.39,80.64,75.52,70.40,15.98,17.53,12.88,4827507000.0,电子-光学光电子-显示器件Ⅲ,智能家居;智能穿戴;人工智能;在线教育;深股通;小米概念;超清视频;养老金持股,824,缩量||回调缩量||阴线
601799.SH,星宇股份,72.92,72.46,74.8,72.46,1113557.0,-2.04,71.13,69.18,65.90,62.95,58.76,1.03,75.40,65.90,56.40,78.11,71.3,91.74,20010208000.0,交运设备-汽车零部件-汽车零部件Ⅲ,物联网;宝马概念;车联网;沪股通;汽车电子;无人驾驶,3003,强中选强||缩量||价跌量缩
603583.SH,捷昌驱动,70.8,67.81,71.65,66.01,2141145.0,-3.57,68.63,67.09,68.17,69.72,64.80,-0.03,72.90,68.17,63.44,66.22,57.74,83.19,2047862000.0,机械设备-电气设备-电机,新股与次新股;年报预增,214,放量||月线长下影线||阴线
300766.SZ,每日互动,69.8,68.61,75.0,68.61,11845999.0,-1.37,69.52,65.92,49.47,--,--,2.82,86.44,49.47,12.51,77.28,83.74,64.36,2751261000.0,信息服务-通信服务-互联网信息服务,新股与次新股;大数据;独角兽概念;百度概念,29,放量||阴线||长上影线
000568.SZ,泸州老窖,69.25,72.45,73.17,69.25,16871137.0,3.53,70.05,69.96,67.84,64.07,56.16,-0.67,74.42,67.84,61.26,66.13,60.27,77.85,105784629000.0,食品饮料-饮料制造-白酒,大消费;MSCI概念;成渝特区;老字号;收入改革;超级品牌;参股券商;融资融券;深股通;春节概念;转融券标的;地方国资改革;白酒概念;证金持股;白马股,9115,价升量涨||放量||阳线
603180.SH,金牌厨柜,69.07,69.35,69.85,68.56,684315.0,0.48,70.56,72.43,76.74,76.89,72.33,-2.59,87.70,76.74,65.78,11.3,15.06,3.77,1277182260.0,轻工制造-家用轻工-家具,白马股;沪股通,711,价升量缩||缩量||阳线
300676.SZ,华大基因,68.9,69.16,70.0,68.52,2558918.0,0.22,69.64,70.88,72.77,74.49,71.86,-1.17,78.01,72.77,67.52,22.75,24.55,19.15,17051123000.0,医药生物-医疗器械服务-医疗器械Ⅲ,体外诊断;生物医药;深股通;基因测序;健康中国;医疗器械概念;MSCI预期;区块链,648,价升量缩||缩量||阳线
600763.SH,通策医疗,68.78,68.38,70.3,67.81,2660565.0,-0.94,67.76,67.50,68.26,67.60,61.34,-0.82,71.26,68.26,65.27,50.03,41.22,67.66,21925363000.0,医药生物-医疗器械服务-医疗服务Ⅲ,民营医院;儿童医药医疗;沪股通;医疗改革;医疗器械概念;二胎概念;年报预增;独角兽概念;区块链,8210,缩量||价跌量缩||月线长下影线
300651.SZ,金陵体育,68.38,68.86,70.29,68.38,436500.0,0.45,69.63,69.48,67.72,63.45,55.39,-1.12,73.47,67.72,61.96,46.71,58.82,22.49,1806621300.0,轻工制造-家用轻工-文娱用品,体育产业;体育用品;世界杯;高送转,714,价升量缩||缩量||阳线
002714.SZ,牧原股份,67.9,66.88,69.3,66.2,18476927.0,-1.21,67.47,67.39,65.81,62.08,52.24,-1.44,74.14,65.81,57.47,36.46,42.46,24.48,79690581000.0,农林牧渔-养殖业-畜禽养殖,扶贫开发;融资融券;饲料;深股通;转融券标的;MSCI概念;优先股概念;猪肉,1911,放量||价跌量缩||阴线
600009.SH,上海机场,66.75,69.23,69.85,66.0,9435916.0,4.11,65.87,63.81,62.30,60.83,57.23,1.06,67.88,62.30,56.73,77.82,64.62,104.22,75701371000.0,交通运输-机场航运-机场Ⅲ,春运;迪士尼;MSCI概念;浦东新区;融资融券;沪股通;转融券标的;地方国资改革;大消费;上海自贸区;上海国资改革;证金持股,7734,价升量涨||放量||阳线
300550.SZ,和仁科技,66.5,64.02,66.5,64.02,559600.0,-3.73,67.25,65.89,65.20,63.86,57.22,-0.79,70.14,65.20,60.26,50.89,56.25,40.17,1873865400.0,信息服务-计算机应用-软件开发及服务,互联网医疗;区块链,917,缩量||价跌量缩||月线长下影线
300761.SZ,立华股份,65.49,71.75,72.05,64.51,11657527.0,9.54,65.53,64.60,68.10,71.70,--,-0.11,77.03,68.10,59.16,55.78,35.51,96.31,2961840000.0,农林牧渔-养殖业-畜禽养殖,新股与次新股;猪肉;养鸡,64,价升量涨||放量||阳线
002371.SZ,北方华创,65.29,63.97,66.5,63.1,8448346.0,-2.25,64.93,65.03,67.50,68.76,60.09,-1.73,73.91,67.50,61.09,38.08,32.83,48.57,22986739000.0,电子-半导体及元件-半导体材料,新能源;航天军工;元器件;军工;融资融券;深股通;芯片材料;芯片设备;转融券标的;锂电设备;国家大基金持股;国改双百行动;光伏概念;芯片概念;OLED;北京国资改革;地方国资改革;集成电路概念;锂电池;证金持股;年报预增;MSCI预期,3325,缩量||价跌量缩||回调缩量
603737.SH,三棵树,65.16,63.72,65.16,62.56,469930.0,-0.78,64.88,65.58,64.27,62.39,52.89,-1.66,70.11,64.27,58.43,30.38,38.84,13.47,2754729700.0,化工-化学制品-涂料油漆油墨制造,参股民营银行;沪股通;建筑涂料;绿色建筑,1054,缩量||价跌量缩||回调缩量
300347.SZ,泰格医药,63.78,63.36,65.2,63.01,3729332.0,-0.39,63.55,64.85,64.43,63.83,57.14,-1.35,68.35,64.43,60.51,26.92,33.97,12.81,22519070000.0,医药生物-医疗器械服务-医疗服务Ⅲ,健康中国;深股通;医疗器械概念;创新药;MSCI预期;台湾概念股,2440,缩量||月线长下影线||回调缩量
002952.SZ,亚世光电,63.57,66.29,69.0,62.99,4465445.0,4.26,64.21,65.01,--,--,--,-1.31,--,--,--,29.04,21.25,44.63,1010259600.0,电子-光学光电子-显示器件Ⅲ,新股与次新股;高送转预期,26,价升量涨||阳线||长上影线
300770.SZ,新媒股份,63.02,63.02,63.02,63.02,19035.0,10.0,--,--,--,--,--,1.78,--,--,--,0.0,0.0,0.0,2022942000.0,信息服务-通信服务-互联网信息服务,地方国资改革;新股与次新股;广东国资改革,4,价升量涨||阶段放量||跳空高开
300699.SZ,光威复材,62.68,59.58,63.6,59.07,5132820.0,-3.9,60.57,60.02,60.04,56.35,49.49,-1.05,64.68,60.04,55.40,50.31,47.96,55.01,13689529000.0,化工-化工合成材料-其他纤维,新材料概念;航空航天;碳纤维;深股通;军民融合;军工;年报预增,599,放量||阴线||价跌量升
300575.SZ,中旗股份,62.23,62.2,62.55,61.55,1018579.0,-0.06,62.08,61.88,63.21,63.24,58.63,-0.99,67.55,63.21,58.86,35.14,28.16,49.09,2139121800.0,化工-化学制品-农药,生物农药;年报预增;高送转,854,缩量||价跌量缩||月线长下影线
600276.SH,恒瑞医药,62.08,62.84,63.55,62.01,19038105.0,1.13,63.62,64.06,64.17,62.64,58.30,-1.1,67.41,64.17,60.94,24.49,33.41,6.66,276742020000.0,医药生物-化学制药-化学制剂,诺贝尔;MSCI概念;老龄化;炭疽;哮喘;融资融券;胰岛素;抗辐射药;沪股通;单抗;转融券标的;医保目录;抗癌;抗肿瘤;仿制药;医疗改革;创新药,6761,价升量缩||缩量||阳线
603658.SH,安图生物,61.42,60.8,62.49,60.59,946577.0,-0.85,61.90,63.82,64.77,64.59,60.36,-1.77,69.53,64.77,60.01,11.97,20.67,-5.43,8301498200.0,医药生物-医疗器械服务-医疗器械Ⅲ,沪股通;体外诊断;机构重仓,964,缩量||价跌量缩||回调缩量
603605.SH,珀莱雅,61.4,61.4,63.05,60.72,2438182.0,0.64,62.83,64.66,66.00,63.33,55.51,-2.77,73.17,66.00,58.83,15.05,20.88,3.38,3812436500.0,化工-化学制品-日用化学产品,电子商务;化妆护肤品,524,价升量缩||缩量||威力雷达
601336.SH,新华保险,61.27,61.03,62.3,60.31,18048172.0,-1.57,62.53,60.87,58.13,56.13,51.00,0.21,66.10,58.13,50.16,69.56,74.31,60.06,127274363000.0,金融服务-保险及其他-保险Ⅲ,MSCI概念;互联网保险;融资融券;沪股通;转融券标的;年报预增;证金持股,2685,缩量||价跌量缩||回调缩量
603096.SH,新经典,61.02,60.82,62.52,60.02,504520.0,-0.61,60.43,59.53,59.47,59.26,60.78,0.67,62.76,59.47,56.19,70.67,59.43,93.14,3279292800.0,信息服务-传媒-平面媒体,文化传媒;平面媒体;机构重仓,728,缩量||价跌量缩||月线长下影线
000651.SZ,格力电器,60.9,60.99,61.5,59.49,87488196.0,-0.25,60.82,58.59,52.62,50.41,46.15,1.84,65.92,52.62,39.32,77.34,82.69,66.63,364099060000.0,家用电器-白色家电-空调,央视财经50;融资融券;太阳能;深股通;转融券标的;MSCI概念;机器人概念;工业互联网;白马爆雷;广东国资改革;珠海国资改革;地方国资改革;智能家居;大消费;家用电器;宝能系;超级品牌;厚朴系;股权转让,8191,强中选强||缩量||阳线
603228.SH,景旺电子,60.62,60.35,61.37,59.6,1679543.0,-1.18,61.01,60.85,62.34,63.37,60.08,-0.69,66.35,62.34,58.32,44.63,41.0,51.89,5276672500.0,电子-半导体及元件-印制电路板,沪股通;OLED;柔性屏;机构重仓,837,缩量||价跌量缩||月线长下影线
300529.SZ,健帆生物,60.58,60.32,61.48,59.49,1501150.0,-0.63,60.63,59.12,59.55,58.35,51.72,-0.45,63.63,59.55,55.46,57.59,54.51,63.74,6542316900.0,医药生物-医疗器械服务-医疗器械Ⅲ,血液制品;深股通;医疗器械概念;横琴新区,994,缩量||月线长下影线||回调缩量
300695.SZ,兆丰股份,60.51,60.2,61.1,60.09,390617.0,-0.32,61.38,63.86,65.26,64.96,61.82,-2.07,71.42,65.26,59.10,7.22,16.79,-11.94,1003997540.0,交运设备-汽车零部件-汽车零部件Ⅲ,创投,592,缩量||价跌量缩||回调缩量
000860.SZ,顺鑫农业,60.37,60.09,62.2,58.88,9916208.0,-0.02,60.83,59.66,59.46,56.94,49.19,-0.87,62.04,59.46,56.87,63.28,63.86,62.12,34286753000.0,食品饮料-饮料制造-白酒,强麦;猪肉收储;普麦;生物育种;生猪屠宰;老字号;融资融券;深股通;转融券标的;猪肉;白酒概念;年报预增;MSCI预期,7475,缩量||月线长下影线||回调缩量
300638.SZ,广和通,59.95,57.96,60.99,57.8,3645344.0,-3.32,63.43,62.34,61.02,60.51,47.83,-1.83,68.50,61.02,53.53,30.59,45.19,1.38,2312604000.0,信息设备-通信设备-通信配套服务,移动互联网;物联网感知层;阿里巴巴概念;5G;物联网;移动支付;年报预增;边缘计算,740,缩量||价跌量缩||月线长下影线
603666.SH,亿嘉和,59.55,58.85,59.8,58.2,1122460.0,-0.32,60.57,62.65,64.63,64.90,56.82,-2.63,70.69,64.63,58.57,9.86,14.81,-0.05,1445441900.0,机械设备-通用设备-其它通用机械,机器人概念;新股与次新股;无人机;沪股通;白马股,315,缩量||价跌量缩||回调缩量
603589.SH,口子窖,59.43,62.63,62.8,59.43,6504416.0,5.51,59.79,56.90,55.78,53.72,48.52,0.79,61.97,55.78,49.59,69.23,61.66,84.36,37578000000.0,食品饮料-饮料制造-白酒,沪股通;白酒概念;MSCI预期,1394,价升量涨||放量||强中选强
600486.SH,扬农化工,59.34,59.17,61.18,59.06,4243569.0,1.2,60.14,61.32,60.44,57.70,51.11,-1.95,70.69,60.44,50.19,12.76,22.63,-6.98,18336718000.0,化工-化学制品-农药,可降解塑料;百草枯;登革热;环氧树脂;蜱虫;融资融券;乡村振兴;沪股通;转融券标的;草甘膦;年报预增;MSCI预期,6207,价升量缩||缩量||阴线
300752.SZ,隆利科技,59.02,58.42,59.3,58.3,956974.0,-0.83,58.82,58.99,62.78,64.84,67.74,-0.59,71.37,62.78,54.19,24.44,20.51,32.32,1061216830.0,电子-光学光电子-LED,新股与次新股;年报预增;高送转预期,144,缩量||回调缩量||阴线
603260.SH,合盛硅业,58.66,57.32,59.48,57.25,2856117.0,-1.88,58.27,58.41,59.71,59.29,55.79,-1.12,63.89,59.71,55.54,31.93,30.83,34.11,14951452000.0,有色金属-新材料-非金属新材料,新材料概念;白马股;沪股通;多晶硅;白炭黑;石墨电极;有机硅;年报预增;长三角一体化;机构重仓,540,缩量||价跌量缩||回调缩量
