股票代码,股票简称,开盘价,收盘价,最高价,最低价,成交量(股),涨跌幅(%),5日均线,10日均线,20日均线,30日均线,60日均线,MACD,BOLL上轨,BOLL中轨,BOLL下轨,kdj(k值),kdj(d值),kdj(j值),a股流通市值,所属行业,所属概念,上市天数,技术形态
300769.SZ,德方纳米,96.9,96.9,96.9,96.9,38900.0,10.0,80.81,--,--,--,--,7.46,--,--,--,0.0,0.0,0.0,1035861000.0,化工-化学制品-其他化学制品,新股与次新股,7,价升量缩||尖三兵||阶段放量
002821.SZ,凯莱英,94.7,93.7,95.09,92.61,1770486.0,0.24,91.10,89.27,89.41,90.87,84.86,0.61,94.25,89.41,84.56,69.93,52.37,105.05,11463332600.0,医药生物-化学制药-化学原料药,生物医药;抗癌;深股通;创新药,885,价升量缩||缩量||月线长下影线
300616.SZ,尚品宅配,93.7,89.18,93.7,87.06,970209.0,-6.33,92.38,93.26,92.60,88.86,81.23,-1.98,101.91,92.60,83.30,34.66,40.28,23.41,6080343200.0,轻工制造-家用轻工-家具,移动互联网;深股通;全屋定制,776,放量||阴线||价跌量升
603259.SH,药明康德,93.17,91.8,93.28,91.5,2309529.0,-1.24,93.11,94.14,93.39,94.01,88.91,-1.0,97.26,93.39,89.51,22.22,34.91,-3.16,9565427400.0,医药生物-医疗器械服务-医疗服务Ⅲ,独角兽概念;新股与次新股;基因测序;创新药;沪股通;年报预增;养老金持股,349,缩量||回调缩量||阴线
300725.SZ,药石科技,93.1,93.3,94.21,92.04,904250.0,-0.2,93.65,94.02,95.90,96.23,83.64,-2.23,102.78,95.90,89.02,24.22,25.3,22.04,6467592500.0,医药生物-化学制药-化学原料药,生物医药;深股通;创新药;年报预增,528,缩量||阳线||回调缩量
603039.SH,泛微网络,91.23,91.47,91.97,90.71,306948.0,0.74,93.23,93.14,97.29,96.28,89.44,-2.37,107.76,97.29,86.81,34.34,29.26,44.49,3649726200.0,信息服务-计算机应用-软件开发及服务,国产软件;沪股通,829,价升量缩||缩量||阳线
600570.SH,恒生电子,90.35,86.77,90.47,86.7,16519740.0,-3.87,89.23,90.54,90.59,89.07,80.99,-2.35,102.06,90.59,79.11,16.34,23.96,1.1,53606955000.0,信息服务-计算机应用-软件开发及服务,MSCI概念;基金三方销售;核高基;互联网医疗;电子商务;蚂蚁金服概念;融资融券;电子信息;马云概念;金融科技;沪股通;转融券标的;区块链应用;智能金融;区块链;互联网金融;独角兽概念;人工智能;国产软件,5606,缩量||回调缩量||阴线
000538.SZ,云南白药,89.95,91.82,91.97,89.53,7438363.0,2.09,90.63,90.82,87.83,86.99,84.87,0.34,94.63,87.83,81.03,39.44,44.34,29.63,95620653000.0,医药生物-中药-中药Ⅲ,参股券商;医疗改革;老龄化;大消费;超级品牌;融资融券;深股通;中医药;转融券标的;央视财经50;健康中国;老字号;医保目录;MSCI概念;机构重仓,9259,价升量涨||缩量||阳线
300618.SZ,寒锐钴业,88.95,82.79,88.95,82.18,7658114.0,-5.87,88.98,90.62,89.06,86.27,79.18,-2.75,105.52,89.06,72.60,13.63,24.83,-8.76,9436735400.0,有色金属-有色冶炼加工-小金属,深股通;锂电池;钴;白马股;小金属概念;年报预增,777,缩量||回调缩量||阴线
300661.SZ,圣邦股份,88.69,88.03,89.5,87.26,412386.0,0.21,86.75,86.27,88.55,91.63,87.39,-0.44,94.23,88.55,82.86,53.38,36.9,86.33,3744877400.0,电子-半导体及元件-集成电路,芯片设计;芯片概念;人工智能;集成电路概念;深股通;超清视频,685,价升量缩||缩量||月线长下影线
300756.SZ,中山金马,87.7,87.2,87.8,86.76,489103.0,-0.57,88.10,89.12,92.55,94.74,94.05,-1.41,101.01,92.55,84.10,13.74,19.46,2.3,872000000.0,机械设备-专用设备-其它专用机械,新股与次新股;高送转,115,缩量||回调缩量||阴线
601318.SH,中国平安,87.22,84.96,88.09,84.5,93211520.0,-2.35,85.15,83.17,79.98,77.78,71.81,0.49,88.54,79.98,71.42,79.19,80.92,75.71,920343180000.0,金融服务-保险及其他-保险Ⅲ,上海金改;MSCI概念;央视财经50;融资融券;沪股通;转融券标的;互联网保险;白马股;中字头股票;征信;独角兽概念,4435,放量||上升通道||阴线
603288.SH,海天味业,86.94,85.5,88.08,85.28,2674936.0,-1.66,86.14,86.24,84.79,81.98,78.56,-0.62,91.48,84.79,78.09,40.05,43.02,34.12,230881580000.0,食品饮料-食品加工制造-调味发酵品,超级品牌;MSCI概念;沪股通;老字号;大消费;调味品,1896,缩量||回调缩量||阴线
300750.SZ,宁德时代,83.21,81.23,83.6,81.03,6649229.0,-2.37,83.49,82.73,83.77,85.34,84.04,-0.15,87.89,83.77,79.65,40.36,42.68,35.72,17646708000.0,机械设备-电气设备-电源设备,独角兽概念;宁德时代概念;新股与次新股;新能源汽车;锂电池;储能;深股通;MSCI预期;科创板IPO,315,缩量||回调缩量||阴线
300572.SZ,安车检测,80.99,76.9,81.0,76.86,786320.0,-3.37,79.30,80.31,80.24,78.22,65.08,-2.72,86.50,80.24,73.97,19.18,31.5,-5.46,4336048000.0,机械设备-仪器仪表-仪器仪表,年报预增;高送转,867,放量||价跌量缩||阴线
300762.SZ,上海瀚讯,80.0,80.15,81.85,79.0,5554602.0,-1.15,80.25,83.82,77.67,--,--,-4.66,107.04,77.67,48.31,23.24,31.34,7.04,2673804000.0,国防军工-国防军工-地面兵装,新股与次新股;军工,39,缩量||阳线||价跌量缩
603338.SH,浙江鼎力,79.0,75.13,79.17,75.05,966041.0,-2.34,77.52,78.53,80.30,79.71,73.36,-2.22,85.49,80.30,75.11,22.06,28.46,9.27,18609455000.0,机械设备-专用设备-其它专用机械,军工;工业4.0;一带一路;高端装备;沪股通;军民融合;年报预增;白马股,1489,缩量||价跌量缩||回调缩量
300567.SZ,精测电子,78.98,79.9,81.9,77.51,1261020.0,1.51,78.68,79.57,80.49,78.33,69.83,-1.91,87.92,80.49,73.06,41.26,33.8,56.18,6686371600.0,机械设备-仪器仪表-仪器仪表,苹果概念;富士康概念;深股通;OLED设备制造;OLED;年报预增;柔性屏;超清视频,881,价升量缩||缩量||阳线
300226.SZ,上海钢联,78.85,77.0,79.1,75.66,2370821.0,-1.81,78.21,79.24,81.23,82.14,72.19,-2.26,87.66,81.23,74.80,19.85,22.01,15.52,11685528100.0,信息服务-通信服务-互联网信息服务,互联网钢铁;供应链金融;票交所;上海自贸区;参股新三板;物流电商平台;P2P概念;临港地区;上海金改;互联网平台;融资融券;深股通;电子商务;转融券标的;互联网+;工业互联网;互联网金融;年报预增,2875,缩量||回调缩量||阴线
601888.SH,中国国旅,78.0,78.0,80.15,77.22,6382178.0,-0.81,77.14,74.79,71.70,68.46,64.23,0.98,80.57,71.70,62.83,84.55,82.5,88.64,152293090000.0,餐饮旅游-景点及旅游-旅游综合Ⅲ,MSCI概念;奢侈品;五一出境游;在线旅游;央企控股;电子商务;春节概念;收入改革;海南旅游岛;融资融券;沪股通;转融券标的;世界杯;大消费;海南自贸区;中韩自贸区;中字头股票;央企国资改革,3476,缩量||上升通道||回调缩量
002032.SZ,苏泊尔,77.95,74.84,77.95,74.56,1221999.0,-3.33,74.88,74.09,72.35,69.59,62.98,-0.31,80.11,72.35,64.59,44.09,46.34,39.58,40759655000.0,家用电器-白色家电-小家电,国际板;家用电器;融资融券;深股通;转融券标的;大消费;MSCI预期;机构重仓,5361,缩量||价跌量缩||月线长下影线
002841.SZ,视源股份,73.63,72.92,73.98,72.88,561361.0,-0.38,73.43,74.06,75.63,75.77,70.55,-1.46,80.57,75.63,70.69,15.61,18.3,10.23,4854803600.0,电子-光学光电子-显示器件Ⅲ,智能家居;智能穿戴;人工智能;在线教育;深股通;小米概念;超清视频;养老金持股,823,缩量||价跌量缩||回调缩量
300630.SZ,普利制药,72.9,73.57,74.68,71.38,995529.0,2.17,72.04,72.22,73.07,71.42,62.55,-1.5,77.20,73.07,68.94,42.82,32.98,62.48,7281700700.0,医药生物-化学制药-化学制剂,海南自贸区;深股通;年报预增;高送转,755,价升量涨||缩量||阳线
601799.SH,星宇股份,72.89,73.97,74.5,71.7,1611688.0,-0.01,69.81,68.60,65.27,62.37,58.45,1.12,74.60,65.27,55.94,77.62,67.9,97.06,20427203000.0,交运设备-汽车零部件-汽车零部件Ⅲ,物联网;宝马概念;车联网;沪股通;汽车电子;无人驾驶,3002,强中选强||缩量||阳线
300651.SZ,金陵体育,72.4,68.55,72.49,68.03,743550.0,-3.97,69.50,69.49,67.08,62.91,55.00,-0.88,74.80,67.08,59.36,53.67,64.87,31.27,1798488100.0,轻工制造-家用轻工-文娱用品,体育产业;体育用品;世界杯;高送转,713,缩量||价跌量缩||回调缩量
603180.SH,金牌厨柜,71.48,69.02,71.8,68.88,968222.0,-3.47,71.19,73.32,77.53,76.92,72.24,-2.75,88.53,77.53,66.53,13.38,16.94,6.26,1271104830.0,轻工制造-家用轻工-家具,白马股;沪股通,710,缩量||回调缩量||阴线
603583.SH,捷昌驱动,70.5,70.32,71.26,68.5,1148471.0,0.62,68.52,67.01,68.34,69.76,64.38,0.03,73.24,68.34,63.44,72.55,53.49,110.65,2123664000.0,机械设备-电气设备-电机,新股与次新股;年报预增;高送转预期,213,价升量涨||缩量||月线长下影线
300676.SZ,华大基因,70.05,69.01,70.16,68.78,3001861.0,-1.78,69.97,71.27,73.05,74.85,71.71,-1.28,78.09,73.05,68.01,23.78,25.45,20.44,17014141000.0,医药生物-医疗器械服务-医疗器械Ⅲ,体外诊断;生物医药;深股通;基因测序;健康中国;医疗器械概念;MSCI预期;区块链,647,缩量||回调缩量||阴线
000568.SZ,泸州老窖,69.14,69.98,72.0,69.01,15221957.0,1.22,69.36,69.63,67.20,63.37,55.66,-0.95,74.34,67.20,60.06,54.22,57.34,47.99,102178169000.0,食品饮料-饮料制造-白酒,大消费;MSCI概念;成渝特区;老字号;收入改革;超级品牌;参股券商;融资融券;深股通;春节概念;转融券标的;地方国资改革;白酒概念;证金持股;白马股,9114,价升量涨||缩量||阳线
300550.SZ,和仁科技,67.8,66.5,68.45,65.23,1138896.0,-2.41,67.14,66.01,65.07,63.76,56.92,-0.33,70.27,65.07,59.87,61.24,58.93,65.87,1946455000.0,信息服务-计算机应用-软件开发及服务,互联网医疗;区块链,916,放量||强中选强||月线长下影线
300766.SZ,每日互动,67.56,69.56,71.29,66.91,10083443.0,1.55,68.71,63.94,46.98,--,--,4.02,85.20,46.98,8.76,86.05,86.97,84.21,2789356000.0,信息服务-通信服务-互联网信息服务,新股与次新股;大数据;独角兽概念;百度概念,28,放量||价升量缩||阳线
600763.SH,通策医疗,66.98,69.03,69.5,66.87,3184241.0,3.26,67.45,67.57,68.21,67.28,61.03,-0.97,71.24,68.21,65.19,43.4,36.82,56.58,22133779000.0,医药生物-医疗器械服务-医疗服务Ⅲ,民营医院;儿童医药医疗;沪股通;医疗改革;医疗器械概念;二胎概念;年报预增;独角兽概念;区块链,8209,价升量涨||放量||阳线
002714.SZ,牧原股份,66.7,67.7,69.26,66.6,21546463.0,2.11,67.53,67.37,65.13,61.68,51.65,-1.29,75.12,65.13,55.15,39.44,45.45,27.41,80667648000.0,农林牧渔-养殖业-畜禽养殖,扶贫开发;融资融券;饲料;深股通;转融券标的;MSCI概念;优先股概念;猪肉,1910,价升量涨||放量||阳线
600009.SH,上海机场,66.66,66.5,68.35,66.1,6196029.0,-0.09,64.53,63.04,61.70,60.43,56.92,0.66,66.72,61.70,56.67,70.02,58.01,94.04,72716180000.0,交通运输-机场航运-机场Ⅲ,春运;迪士尼;MSCI概念;浦东新区;融资融券;沪股通;转融券标的;地方国资改革;大消费;上海自贸区;上海国资改革;证金持股,7733,缩量||价跌量缩||月线长下影线
000418.SZ,小天鹅A,65.4,63.25,65.6,62.2,3285247.0,-3.29,63.34,63.04,60.96,59.27,56.02,-0.02,68.18,60.96,53.73,66.34,62.97,73.09,27788705000.0,家用电器-白色家电-洗衣机,深股通;家用电器;MSCI预期;机构重仓,8060,缩量||回调缩量||阴线
300743.SZ,天地数码,65.34,53.46,65.34,53.46,7541680.0,-10.0,63.13,57.34,48.54,45.99,42.00,2.42,70.14,48.54,26.94,64.92,78.9,36.94,882090000.0,化工-化学制品-其他化学制品,新股与次新股,360,放量||阴线||价跌量升
002371.SZ,北方华创,65.25,65.44,67.29,64.5,11080227.0,1.46,65.52,65.36,67.85,69.01,59.73,-1.8,74.23,67.85,61.48,40.32,30.21,60.54,23514963000.0,电子-半导体及元件-半导体材料,新能源;航天军工;元器件;军工;融资融券;深股通;芯片材料;芯片设备;转融券标的;锂电设备;国家大基金持股;国改双百行动;光伏概念;芯片概念;OLED;北京国资改革;地方国资改革;集成电路概念;锂电池;证金持股;年报预增;MSCI预期,3324,价升量涨||放量||阳线
603737.SH,三棵树,64.98,64.22,65.54,63.75,542904.0,-0.8,65.22,65.84,64.10,62.09,52.46,-1.47,70.20,64.10,58.00,35.55,43.07,20.51,2776345600.0,化工-化学制品-涂料油漆油墨制造,参股民营银行;沪股通;建筑涂料;绿色建筑,1053,缩量||价跌量缩||回调缩量
601336.SH,新华保险,64.45,62.0,64.64,60.9,19160607.0,-3.77,62.72,60.64,57.68,55.76,50.67,0.6,65.98,57.68,49.37,77.34,76.69,78.63,129297239000.0,金融服务-保险及其他-保险Ⅲ,MSCI概念;互联网保险;融资融券;沪股通;转融券标的;年报预增;证金持股,2684,放量||阴线||价跌量升
600276.SH,恒瑞医药,64.3,62.14,64.4,62.07,26908168.0,-3.58,64.02,64.26,63.99,62.49,58.07,-1.03,67.90,63.99,60.08,27.5,37.87,6.75,273659280000.0,医药生物-化学制药-化学制剂,诺贝尔;MSCI概念;老龄化;炭疽;哮喘;融资融券;胰岛素;抗辐射药;沪股通;单抗;转融券标的;医保目录;抗癌;抗肿瘤;仿制药;医疗改革;创新药,6760,放量||阴线||价跌量升
000651.SZ,格力电器,63.73,61.14,64.29,60.88,126873432.0,-5.94,60.27,57.68,51.96,49.93,45.76,2.24,64.81,51.96,39.12,83.64,85.36,80.21,364994540000.0,家用电器-白色家电-空调,央视财经50;融资融券;太阳能;深股通;转融券标的;MSCI概念;机器人概念;工业互联网;白马爆雷;广东国资改革;珠海国资改革;地方国资改革;智能家居;大消费;家用电器;宝能系;超级品牌;厚朴系;股权转让,8190,放量||强中选强||旗形
300638.SZ,广和通,63.27,59.95,64.58,59.2,5151481.0,-5.67,65.26,62.73,60.94,60.53,47.34,-1.11,68.58,60.94,53.31,43.02,52.49,24.09,2392005000.0,信息设备-通信设备-通信配套服务,移动互联网;物联网感知层;阿里巴巴概念;5G;物联网;移动支付;年报预增;边缘计算,739,放量||月线长下影线||阴线
002952.SZ,亚世光电,63.1,63.58,63.79,62.4,1868727.0,0.28,63.82,65.68,--,--,--,-1.43,--,--,--,14.02,17.35,7.35,968959200.0,电子-光学光电子-显示器件Ⅲ,新股与次新股;高送转预期,25,价升量涨||阳线||阶段放量
300575.SZ,中旗股份,63.01,62.24,64.7,62.02,1357692.0,-1.98,62.09,62.07,63.39,63.24,58.44,-1.11,67.85,63.39,58.92,30.61,24.68,42.48,2140497400.0,化工-化学制品-农药,生物农药;年报预增;高送转,853,缩量||价跌量缩||月线长下影线
300347.SZ,泰格医药,62.93,63.61,63.9,62.28,2995979.0,1.29,64.18,65.18,64.35,63.83,56.82,-1.35,68.41,64.35,60.30,28.8,37.5,11.42,22607924000.0,医药生物-医疗器械服务-医疗服务Ⅲ,健康中国;深股通;医疗器械概念;创新药;MSCI预期;台湾概念股,2439,价升量缩||缩量||阳线
603605.SH,珀莱雅,62.88,61.01,63.7,60.18,3013454.0,-2.97,63.64,65.66,65.96,63.03,55.26,-2.71,73.26,65.96,58.66,16.0,23.8,0.41,3788220700.0,化工-化学制品-日用化学产品,电子商务;化妆护肤品,523,放量||价跌量缩||阴线
300761.SZ,立华股份,62.82,65.5,65.5,62.82,5682805.0,4.13,63.78,64.10,68.14,72.32,--,-1.42,77.16,68.14,59.12,35.04,25.38,54.34,2703840000.0,农林牧渔-养殖业-畜禽养殖,新股与次新股;猪肉;养鸡,63,价升量涨||放量||阳线
300529.SZ,健帆生物,62.46,60.7,62.59,60.07,1417975.0,-2.85,60.40,59.15,59.29,58.07,51.41,-0.42,63.78,59.29,54.80,60.09,52.97,74.34,6509318700.0,医药生物-医疗器械服务-医疗器械Ⅲ,血液制品;深股通;医疗器械概念;横琴新区,993,缩量||价跌量缩||月线长下影线
603658.SH,安图生物,62.36,61.32,63.2,60.39,1464274.0,-1.51,62.36,64.49,64.94,64.61,60.24,-1.73,69.33,64.94,60.54,15.81,25.02,-2.62,8372497900.0,医药生物-医疗器械服务-医疗器械Ⅲ,沪股通;体外诊断;机构重仓,963,缩量||回调缩量||阴线
300699.SZ,光威复材,62.3,62.0,63.38,60.8,3439784.0,-0.75,60.61,60.13,59.77,55.98,49.13,-0.82,65.11,59.77,54.42,59.59,46.78,85.21,14245566000.0,化工-化工合成材料-其他纤维,新材料概念;航空航天;碳纤维;深股通;军民融合;军工;年报预增,598,缩量||价跌量缩||回调缩量
603096.SH,新经典,61.99,61.19,61.99,59.5,713391.0,-1.62,59.84,59.40,59.37,59.26,60.75,0.65,62.60,59.37,56.13,70.12,53.82,102.74,3299242400.0,信息服务-传媒-平面媒体,文化传媒;平面媒体;机构重仓,727,缩量||价跌量缩||月线长下影线
000860.SZ,顺鑫农业,61.8,60.1,63.24,60.1,7252214.0,-2.75,60.56,59.64,59.25,56.40,48.81,-0.76,62.24,59.25,56.26,66.57,64.15,71.4,34292459000.0,食品饮料-饮料制造-白酒,强麦;猪肉收储;普麦;生物育种;生猪屠宰;老字号;融资融券;深股通;转融券标的;猪肉;白酒概念;年报预增;MSCI预期,7474,缩量||月线长下影线||回调缩量
300695.SZ,兆丰股份,61.38,60.39,61.76,60.2,497599.0,-1.93,61.88,64.85,65.53,65.07,61.76,-2.02,71.22,65.53,59.85,10.18,21.58,-12.62,1007166300.0,交运设备-汽车零部件-汽车零部件Ⅲ,创投,591,缩量||价跌量缩||回调缩量
603228.SH,景旺电子,61.1,61.07,62.07,60.11,2473478.0,-0.33,61.37,61.21,62.48,63.57,59.88,-0.71,66.40,62.48,58.56,43.92,39.18,53.4,5339625300.0,电子-半导体及元件-印制电路板,沪股通;OLED;柔性屏;机构重仓,836,放量||月线长下影线||阴线
600486.SH,扬农化工,60.73,58.47,61.88,58.42,4709002.0,-2.73,60.71,62.30,60.04,57.37,50.79,-1.81,71.09,60.04,48.98,13.44,27.56,-14.81,18119789000.0,化工-化学制品-农药,可降解塑料;百草枯;登革热;环氧树脂;蜱虫;融资融券;乡村振兴;沪股通;转融券标的;草甘膦;年报预增;MSCI预期;宝能系,6206,缩量||回调缩量||阴线
603019.SH,中科曙光,60.66,60.15,61.33,59.71,17669078.0,0.54,59.70,59.62,61.23,61.04,52.44,-1.45,66.22,61.23,56.24,46.58,36.81,66.12,38680369000.0,信息设备-计算机设备-计算机设备Ⅲ,腾讯概念;透明计算;量子通信;虚拟机器人;雄安新区;GPU;沪股通;AI芯片;核高基;云计算;芯片概念;基因测序;参股新三板;人工智能;超级计算机;华为概念;网络安全;中科院系;创投;独角兽概念;MSCI预期;科创板IPO,1628,价升量涨||缩量||月线长下影线
603589.SH,口子窖,60.62,59.36,61.61,58.96,5803208.0,-1.8,58.00,56.21,55.17,53.13,48.14,0.41,60.91,55.17,49.42,62.07,57.88,70.45,35616000000.0,食品饮料-饮料制造-白酒,沪股通;白酒概念;MSCI预期,1393,放量||强中选强||价跌量缩
603666.SH,亿嘉和,60.62,59.04,61.66,58.66,1478269.0,-3.44,61.93,63.32,65.02,64.92,56.60,-2.57,70.49,65.02,59.55,10.8,17.28,-2.16,1450108600.0,机械设备-通用设备-其它通用机械,机器人概念;新股与次新股;无人机;沪股通;白马股,314,放量||阴线||价跌量升
